Group,Name,CourseNumber,StartDate,Days,Time,Period,Credits,Campus,Fee,Teacher,Detail
Bioinformatics,Drug Development Process,BTEC.X401.(4),9/6/2018,Thu,06:00 PM,2018.09.06-2018.12.06,3.0,SANTA CLARA,$765,Edward James Rozhon,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642095&SectionID=6210647
Bioinformatics,Regulation of Drugs and Biologics,REGL.X403.(3),10/1/2018,Mon,06:00 PM,2018.10.01-2018.12.10,3.0,SANTA CLARA,$825,Sheldon L Mullins,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643981&SectionID=6211523
Bioinformatics,"Drug Discovery, Introduction",BTEC.X405.(2),9/26/2018,Wed,06:00 PM,2018.09.26-2018.12.12,3.0,SANTA CLARA,$765,,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642431&SectionID=5787275
Bioinformatics,Biochemistry: An Introduction,BTEC.X400.(3),9/18/2018,Tue,06:00 PM,2018.09.18-2018.11.27,3.0,SANTA CLARA,$765,Gail Katsir,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5641803&SectionID=6210521
Bioinformatics,Cellular Biology,BTEC.X403.(805),9/19/2018,Wed,NA,2018.09.19-2018.12.05,3.0,ONLINE,$765,Juan Jose Fung,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642291&SectionID=6211817
Bioinformatics,Cellular Biology,BTEC.X403.(804),6/15/2018,Fri,NA,2018.06.15-2018.09.27,3.0,ONLINE,$765,Juan Jose Fung,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642291&SectionID=6115929
Bioinformatics,Statistics,BINF.X404.(805),9/19/2018,Wed,NA,2018.09.19-2018.12.05,5.0,ONLINE,$860,Robert Knight,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5641709&SectionID=6211775
Bioinformatics,Statistics,BINF.X404.(804),6/15/2018,Fri,NA,2018.06.15-2018.09.27,5.0,ONLINE,$860,Robert Knight,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5641709&SectionID=6113409
Bioinformatics,Toxicology Basics for Biotechnology,BTEC.X412.(805),9/19/2018,Wed,NA,2018.09.19-2018.12.05,1.5,ONLINE,$580,Ronald Tjeerdema,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643407&SectionID=6211901
Bioinformatics,Toxicology Basics for Biotechnology,BTEC.X412.(804),6/15/2018,Fri,NA,2018.06.15-2018.09.27,1.5,ONLINE,$580,Ronald Tjeerdema,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643407&SectionID=6113451
Bioinformatics,"Viruses, Vaccines and Gene Therapy",BTEC.X413.(2),9/10/2018,Mon,06:00 PM,2018.09.10-2018.10.15,1.5,SANTA CLARA,$580,Edward James Rozhon,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643465&SectionID=6210829
Bioinformatics,Drug Development Process,BTEC.X401.(4),9/6/2018,Thu,06:00 PM,2018.09.06-2018.12.06,3.0,SANTA CLARA,$765,Edward James Rozhon,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642095&SectionID=6210647
Bioinformatics,Regulation of Drugs and Biologics,REGL.X403.(3),10/1/2018,Mon,06:00 PM,2018.10.01-2018.12.10,3.0,SANTA CLARA,$825,Sheldon L Mullins,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643981&SectionID=6211523
Bioinformatics,"Drug Discovery, Introduction",BTEC.X405.(2),9/26/2018,Wed,06:00 PM,2018.09.26-2018.12.12,3.0,SANTA CLARA,$765,,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642431&SectionID=5787275
Bioinformatics,Biochemistry: An Introduction,BTEC.X400.(3),9/18/2018,Tue,06:00 PM,2018.09.18-2018.11.27,3.0,SANTA CLARA,$765,Gail Katsir,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5641803&SectionID=6210521
Bioinformatics,Cellular Biology,BTEC.X403.(805),9/19/2018,Wed,NA,2018.09.19-2018.12.05,3.0,ONLINE,$765,Juan Jose Fung,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642291&SectionID=6211817
Bioinformatics,Cellular Biology,BTEC.X403.(804),6/15/2018,Fri,NA,2018.06.15-2018.09.27,3.0,ONLINE,$765,Juan Jose Fung,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642291&SectionID=6115929
Biotechnology,Cellular Biology,BTEC.X403.(805),9/19/2018,Wed,NA,2018.09.19-2018.12.05,3.0,ONLINE,$765,Juan Jose Fung,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642291&SectionID=6211817
Biotechnology,Cellular Biology,BTEC.X403.(804),6/15/2018,Fri,NA,2018.06.15-2018.09.27,3.0,ONLINE,$765,Juan Jose Fung,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642291&SectionID=6115929
Biotechnology,Statistics,BINF.X404.(805),9/19/2018,Wed,NA,2018.09.19-2018.12.05,5.0,ONLINE,$860,Robert Knight,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5641709&SectionID=6211775
Biotechnology,Statistics,BINF.X404.(804),6/15/2018,Fri,NA,2018.06.15-2018.09.27,5.0,ONLINE,$860,Robert Knight,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5641709&SectionID=6113409
Biotechnology,Experimental Methods in Molecular Biology,BINF.X401.(805),9/19/2018,Wed,NA,2018.09.19-2018.12.05,3.0,ONLINE,$765,Guido Bordignon,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5641555&SectionID=6211733
Biotechnology,Experimental Methods in Molecular Biology,BINF.X401.(804),6/15/2018,Fri,NA,2018.06.15-2018.09.27,3.0,ONLINE,$765,Guido Bordignon,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5641555&SectionID=6113293
Biotechnology,"Bioinformatics Tools, Databases and Methods",BINF.X400.(804),9/19/2018,Wed,NA,2018.09.19-2018.12.05,3.0,ONLINE,$765,Janani Rangarajan,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5641445&SectionID=6211691
Biotechnology,"Bioinformatics Tools, Databases and Methods",BINF.X400.(803),6/15/2018,Fri,NA,2018.06.15-2018.09.27,3.0,ONLINE,$765,Janani Rangarajan,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5641445&SectionID=6113343
Biotechnology,Biology of Cancer,BTEC.X402.(2),11/3/2018,Sat,09:00 AM,2018.11.03-2018.11.17,2.0,SANTA CLARA,$715,Sreenivasan Paruthiyil,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642235&SectionID=6210603
Biotechnology,"DNA Microarrays: Principles, Applications and Data Analysis",BTEC.X404.(803),9/19/2018,Wed,NA,2018.09.19-2018.12.05,3.0,ONLINE,$765,Janani Rangarajan,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642377&SectionID=6211859
Biotechnology,Genomics and Next Generation DNA Sequencing: Methods and Applications,BTEC.X407.(2),9/29/2018,Sat,08:30 AM,2018.09.29-2018.10.27,3.0,SANTA CLARA,$950,Abizar A Lakdawalla,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643207&SectionID=5800811
Biotechnology,Human Physiology in Health and Disease,BTEC.X408.(3),9/6/2018,Thu,06:00 PM,2018.09.06-2018.12.13,3.0,SANTA CLARA,$765,Gregory Daniel Frank,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643311&SectionID=6210763
Biotechnology,Toxicology Basics for Biotechnology,BTEC.X412.(805),9/19/2018,Wed,NA,2018.09.19-2018.12.05,1.5,ONLINE,$580,Ronald Tjeerdema,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643407&SectionID=6211901
Biotechnology,Toxicology Basics for Biotechnology,BTEC.X412.(804),6/15/2018,Fri,NA,2018.06.15-2018.09.27,1.5,ONLINE,$580,Ronald Tjeerdema,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643407&SectionID=6113451
Biotechnology,"Viruses, Vaccines and Gene Therapy",BTEC.X413.(2),9/10/2018,Mon,06:00 PM,2018.09.10-2018.10.15,1.5,SANTA CLARA,$580,Edward James Rozhon,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643465&SectionID=6210829
Biotechnology,Drug Development Process,BTEC.X401.(4),9/6/2018,Thu,06:00 PM,2018.09.06-2018.12.06,3.0,SANTA CLARA,$765,Edward James Rozhon,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642095&SectionID=6210647
Biotechnology,Regulation of Drugs and Biologics,REGL.X403.(3),10/1/2018,Mon,06:00 PM,2018.10.01-2018.12.10,3.0,SANTA CLARA,$825,Sheldon L Mullins,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643981&SectionID=6211523
Biotechnology,"Drug Discovery, Introduction",BTEC.X405.(2),9/26/2018,Wed,06:00 PM,2018.09.26-2018.12.12,3.0,SANTA CLARA,$765,,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642431&SectionID=5787275
Biotechnology,Biochemistry: An Introduction,BTEC.X400.(3),9/18/2018,Tue,06:00 PM,2018.09.18-2018.11.27,3.0,SANTA CLARA,$765,Gail Katsir,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5641803&SectionID=6210521
Clinical Trials Design and Management,Biology of Cancer,BTEC.X402.(2),11/3/2018,Sat,09:00 AM,2018.11.03-2018.11.17,2.0,SANTA CLARA,$715,Sreenivasan Paruthiyil,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642235&SectionID=6210603
Clinical Trials Design and Management,Contracting with Contract Research Organizations (CROs),CTDM.X406.(1),8/24/2018,Fri,09:00 AM,2018.08.24-2018.08.25,1.5,SANTA CLARA,$580,Denise Sharp,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5662301&SectionID=6113253
Clinical Trials Design and Management,Human Physiology in Health and Disease,BTEC.X408.(3),9/6/2018,Thu,06:00 PM,2018.09.06-2018.12.13,3.0,SANTA CLARA,$765,Gregory Daniel Frank,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643311&SectionID=6210763
Clinical Trials Design and Management,"Viruses, Vaccines and Gene Therapy",BTEC.X413.(2),9/10/2018,Mon,06:00 PM,2018.09.10-2018.10.15,1.5,SANTA CLARA,$580,Edward James Rozhon,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643465&SectionID=6210829
Clinical Trials Design and Management,Drug Safety and Adverse Events Reporting,CTDM.X409.(3),12/1/2018,Sat,08:30 AM,2018.12.01-2018.12.08,1.5,SANTA CLARA,$580,Narinder Singh,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5644553&SectionID=6211021
Clinical Trials Design and Management,Medical Writing,CTDM.X413.(3),11/2/2018,Fri,06:00 PM,2018.11.02-2019.01.25,2.0,SANTA CLARA,$750,David A West,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5644643&SectionID=6210467
Clinical Trials Design and Management,Clinical Project Management,CTDM.X401.(2),9/18/2018,Tue,06:00 PM,2018.09.18-2018.11.13,2.0,SANTA CLARA,$750,Karim N Sajwani,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5644453&SectionID=6210891
Clinical Trials Design and Management,Drug Development Process,BTEC.X401.(4),9/6/2018,Thu,06:00 PM,2018.09.06-2018.12.06,3.0,SANTA CLARA,$765,Edward James Rozhon,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642095&SectionID=6210647
Clinical Trials Design and Management,Biology of Cancer,BTEC.X402.(2),11/3/2018,Sat,09:00 AM,2018.11.03-2018.11.17,2.0,SANTA CLARA,$715,Sreenivasan Paruthiyil,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5642235&SectionID=6210603
Clinical Trials Design and Management,Contracting with Contract Research Organizations (CROs),CTDM.X406.(1),8/24/2018,Fri,09:00 AM,2018.08.24-2018.08.25,1.5,SANTA CLARA,$580,Denise Sharp,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5662301&SectionID=6113253
Clinical Trials Design and Management,Human Physiology in Health and Disease,BTEC.X408.(3),9/6/2018,Thu,06:00 PM,2018.09.06-2018.12.13,3.0,SANTA CLARA,$765,Gregory Daniel Frank,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643311&SectionID=6210763
Clinical Trials Design and Management,"Viruses, Vaccines and Gene Therapy",BTEC.X413.(2),9/10/2018,Mon,06:00 PM,2018.09.10-2018.10.15,1.5,SANTA CLARA,$580,Edward James Rozhon,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643465&SectionID=6210829
Clinical Trials Design and Management,Drug Safety and Adverse Events Reporting,CTDM.X409.(3),12/1/2018,Sat,08:30 AM,2018.12.01-2018.12.08,1.5,SANTA CLARA,$580,Narinder Singh,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5644553&SectionID=6211021
HAZWOPER,8-Hour Annual HAZWOPER Refresher,NATS.X800.(4),10/12/2018,Fri,08:00 AM,2018.10.12-2018.10.12,,SANTA CLARA,$265,David J Keenan,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643683&SectionID=6211145
HAZWOPER,Hazardous Waste Handling and Awareness Training,NATS.X801.(3),10/25/2018,Thu,09:00 AM,2018.10.25-2018.10.25,,SANTA CLARA,$265,David J Keenan,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5643775&SectionID=6211185
Medical Devices,Human Factors and Usability in Medical Device Development,MEDD.X401.(2),9/29/2018,Sat,09:00 AM,2018.09.29-2018.10.20,2.0,SANTA CLARA,$775,Kevin Michael Ten Brink,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5663187&SectionID=6211225
Medical Devices,Post-Market Regulatory Obligations for Medical Devices,MEDD.X406.(2),11/10/2018,Sat,08:30 AM,2018.11.10-2018.11.17,1.5,SANTA CLARA,$750,Clarisa A Tate,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5644995&SectionID=6211283
Medical Devices,Global Medical Device Submissions and Strategy,REGL.X401.(3),9/8/2018,Sat,08:30 AM,2018.09.08-2018.09.22,1.5,SANTA CLARA,$750,Patrick Lee,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5645291&SectionID=6211479
